ID,Title,IMDb,Age Category,d1,d2,d3,d4
260,A Shaun the Sheep Movie: Farmageddon,6.9,all,0,0,0,0
261,April and the Extraordinary World,7.3,7+,1,0,0,0
262,The Highwaymen,6.9,18+,0,0,0,1
263,Legend,6.9,18+,0,0,0,1
264,Boy & the World,7.6,7+,1,0,0,0
265,Terminator 3: Rise of the Machines,6.3,18+,0,0,0,1
266,Guru,7.7,13+,0,1,0,0
267,Louis C.K. 2017,7.6,18+,0,0,0,1
268,1922,6.3,18+,0,0,0,1
269,Hancock,6.4,13+,0,1,0,0
270,"Hail, Caesar!",6.3,13+,0,1,0,0
271,The Pixar Story,7.8,all,0,0,0,0
272,Child's Play,6.6,18+,0,0,0,1
273,The Angry Birds Movie 2,6.4,7+,1,0,0,0
274,Obvious Child,6.8,18+,0,0,0,1
275,American Honey,7,18+,0,0,0,1
276,Udta Punjab,7.8,18+,0,0,0,1
277,Den of Thieves,7,18+,0,0,0,1
278,Wadjda,7.5,7+,1,0,0,0
279,The Spiderwick Chronicles,6.5,7+,1,0,0,0
280,The Christmas Chronicles,7.1,7+,1,0,0,0
281,Turbo,6.4,7+,1,0,0,0
282,My Girl,6.9,7+,1,0,0,0
283,44764,6.8,18+,0,0,0,1
284,Adam Sandler: 100% Fresh,7.6,18+,0,0,0,1
285,Remember,7.5,18+,0,0,0,1
286,Triple Frontier,6.4,18+,0,0,0,1
287,Bombshell: The Hedy Lamarr Story,7.4,13+,0,1,0,0
288,Paddleton,7.2,18+,0,0,0,1
289,Bad Boys II,6.6,18+,0,0,0,1
290,Sour Grapes,7.3,16+,0,0,1,0
291,Being Elmo: A Puppeteer's Journey,7.6,7+,1,0,0,0
292,It Comes at Night,6.2,18+,0,0,0,1
293,Creep,6.3,18+,0,0,0,1
294,The Interview,6.5,18+,0,0,0,1
295,Outbreak,6.6,18+,0,0,0,1
296,Black Snake Moan,6.9,18+,0,0,0,1
297,Bright,6.3,18+,0,0,0,1
298,Candyman,6.6,18+,0,0,0,1
299,Mary and the Witch's Flower,6.8,7+,1,0,0,0
300,Calibre,6.7,18+,0,0,0,1
301,First They Killed My Father,7.2,18+,0,0,0,1
302,Up in Smoke,7,18+,0,0,0,1
303,Final Destination,6.7,18+,0,0,0,1
304,Kill the Messenger,6.9,18+,0,0,0,1
305,Outlaw King,6.9,18+,0,0,0,1
306,21,6.8,13+,0,1,0,0
307,Krisha,7.2,18+,0,0,0,1
308,De Palma,7.4,18+,0,0,0,1
309,Dear Ex,7.4,18+,0,0,0,1
310,Tomorrow Never Dies,6.5,13+,0,1,0,0
311,Veronica,6.2,18+,0,0,0,1
312,Instructions Not Included,7.5,13+,0,1,0,0
313,Bleed for This,6.8,18+,0,0,0,1
314,Girl,7.2,18+,0,0,0,1
315,The Naked Gun 2Â½: The Smell of Fear,6.9,13+,0,1,0,0
316,Chitty Chitty Bang Bang,6.9,all,0,0,0,0
317,Jodhaa Akbar,7.6,13+,0,1,0,0
318,"Love, Rosie",7.2,18+,0,0,0,1
319,Oceans,7.8,all,0,0,0,0
320,The Ritual,6.3,18+,0,0,0,1
321,Alpha Dog,6.9,18+,0,0,0,1
322,Spectral,6.3,13+,0,1,0,0
323,The Babysitter,6.3,18+,0,0,0,1
324,"Extremely Wicked, Shockingly Evil and Vile",6.6,18+,0,0,0,1
325,Heneral Luna,7.6,18+,0,0,0,1
326,Click,6.4,13+,0,1,0,0
327,The Duchess,6.9,13+,0,1,0,0
328,The Last Man on the Moon,7.4,18+,0,0,0,1
329,Mune: Guardian of the Moon,7.2,7+,1,0,0,0
330,How the Grinch Stole Christmas,6.2,7+,1,0,0,0
331,The Sapphires,7,13+,0,1,0,0
332,Bloodsport,6.8,18+,0,0,0,1
333,Tinker Bell and the Legend of the NeverBeast,7.3,all,0,0,0,0
334,Get Me Roger Stone,7.4,16+,0,0,1,0
335,Alex Strangelove,6.3,18+,0,0,0,1
336,She's Out of My League,6.4,18+,0,0,0,1
337,Sarah's Key,7.5,13+,0,1,0,0
338,Killing Them Softly,6.2,18+,0,0,0,1
339,Ittefaq,7.2,7+,1,0,0,0
340,6 Underground,6.1,18+,0,0,0,1
341,Echo in the Canyon,7,13+,0,1,0,0
342,Suffragette,6.9,13+,0,1,0,0
343,Terminator Salvation,6.5,13+,0,1,0,0
344,Hotel Transylvania 3: Summer Vacation,6.3,7+,1,0,0,0
345,Our Souls at Night,6.9,16+,0,0,1,0
346,Everybody Knows,6.9,18+,0,0,0,1
347,Tinker Bell and the Pirate Fairy,6.6,all,0,0,0,0
348,The World Is Not Enough,6.4,13+,0,1,0,0
349,Beyond the Mat,7.6,18+,0,0,0,1
350,Next Gen,6.6,7+,1,0,0,0
351,Cam,5.9,18+,0,0,0,1
352,Underworld: Evolution,6.7,18+,0,0,0,1
353,Om Shanti Om,6.7,7+,1,0,0,0
354,Spitfire,7.5,7+,1,0,0,0
355,Dear Zindagi,7.6,13+,0,1,0,0
356,Uncorked,6.1,13+,0,1,0,0
357,The Water Diviner,7,18+,0,0,0,1
358,Gaga: Five Foot Two,7,18+,0,0,0,1
359,Austin Powers in Goldmember,6.2,13+,0,1,0,0
